Ledger_Number,Row_Count,Transaction_Fee_med,Transaction_Fee_avg,Transaction_Fee_max,Transaction_Fee_min,Transaction_Fee_sum
63578495,42,12.0,12.0,12,12,504
63581495,32,12.0,12.0,12,12,384
63584495,47,12.0,11.595744680851064,15,10,545
63587495,49,12.0,17.06122448979592,150,10,836
63590495,45,12.0,484.97777777777776,15002,10,21824
63593495,54,12.0,1852.037037037037,6972,10,100010
63596495,33,12.0,24.363636363636363,150,10,804
63599495,36,12.0,12.0,12,12,432
63602495,44,12.0,11.772727272727273,12,10,518
63605495,40,12.0,11.8,12,11,472
63608495,28,12.0,12.0,12,12,336
63611495,39,12.0,15.512820512820513,150,10,605
63614495,55,12.0,21.745454545454546,150,10,1196
63617495,43,12.0,153.90697674418604,6114,12,6618
63620495,36,12.0,18.36111111111111,150,10,661
63623495,25,12.0,12.0,12,12,300
63626495,18,12.0,1023.1666666666666,7355,10,18417
63629495,34,12.0,11.823529411764707,12,10,402
63632495,45,12.0,18.133333333333333,150,12,816
63635495,42,12.0,18.523809523809526,150,10,778
63638495,72,12.0,534.5416666666666,5529,10,38487
63641495,38,12.0,11.894736842105264,12,11,452
63644495,50,12.0,14.46,150,10,723
63647495,33,12.0,12.0,12,12,396
63650495,40,12.0,11.85,12,10,474
63653495,43,12.0,14.604651162790697,150,10,628
63656495,21,12.0,18.952380952380953,150,12,398
63659495,35,12.0,452.25714285714287,15002,10,15829
63662495,43,12.0,11.279069767441861,12,10,485
63665495,24,12.0,11.916666666666666,12,10,286
63668495,22,12.0,12.0,12,12,264
63671495,28,12.0,11.642857142857142,12,10,326
63674495,43,12.0,1299.1627906976744,10000,10,55864
63677495,36,12.0,15.277777777777779,150,10,550
63680495,30,12.0,16.4,150,10,492
63683495,36,12.0,15.833333333333334,150,12,570
63686495,32,12.0,19.90625,150,10,637
63689495,33,12.0,24.515151515151516,150,11,809
63692495,24,12.0,27.791666666666668,250,12,667
63695495,18,12.0,22.166666666666668,150,10,399
63698495,22,12.0,18.272727272727273,150,12,402
63701495,45,12.0,15.133333333333333,150,12,681
63704495,26,12.0,11.692307692307692,12,10,304
63707495,27,12.0,16.962962962962962,150,11,458
63710495,22,12.0,12.0,12,12,264
63713495,36,12.0,11.5,12,10,414
63716495,25,12.0,1182.04,6124,12,29551
63719495,21,12.0,12.0,12,12,252
63722495,26,12.0,17.23076923076923,150,10,448
63725495,20,12.0,11.6,12,10,232
63728495,40,12.0,15.4,150,10,616
63731495,22,12.0,12.0,12,12,264
63734495,34,12.0,643.7647058823529,5342,11,21888
63737495,35,12.0,11.714285714285714,12,11,410
63740495,28,12.0,11.857142857142858,12,10,332
63743495,30,12.0,23.733333333333334,250,10,712
63746495,39,12.0,13.153846153846153,77,10,513
63749495,26,12.0,17.307692307692307,150,12,450
63752495,28,12.0,19.035714285714285,150,10,533
63755495,20,12.0,12.0,12,12,240
63758495,25,12.0,17.16,150,10,429
63761495,26,12.0,17.53846153846154,150,11,456
63764495,29,12.0,11.724137931034482,12,10,340
63767495,35,12.0,258.65714285714284,2801,10,9053
63770495,56,12.0,1504.6964285714287,10000,10,84263
63773495,31,12.0,16.322580645161292,150,10,506
63776495,36,12.0,11.666666666666666,12,10,420
63779495,23,12.0,11.826086956521738,12,10,272
63782495,28,12.0,20.285714285714285,150,10,568
63785495,21,12.0,12.0,12,12,252
63788495,43,12.0,504.6279069767442,5445,10,21699
63791495,29,12.0,11.758620689655173,15,10,341
63794495,36,12.0,843.8333333333334,10000,10,30378
63797495,28,12.0,585.1785714285714,5354,10,16385
63800495,34,12.0,15.941176470588236,150,10,542
63803495,32,12.0,20.375,150,10,652
63806495,34,12.0,11.882352941176471,12,11,404
63809495,28,12.0,11.714285714285714,12,10,328
63812495,25,12.0,11.92,12,10,298
63815495,32,12.0,11.3125,12,10,362
63818495,20,12.0,12.2,20,10,244
63821495,28,12.0,16.928571428571427,150,12,474
63824495,31,12.0,12.0,12,12,372
63827495,20,12.0,25.7,150,10,514
63830495,27,12.0,12.0,12,12,324
63833495,27,12.0,11.777777777777779,12,10,318
63836495,24,12.0,12.0,12,12,288
63839495,31,12.0,11.870967741935484,20,10,368
63842495,34,12.0,187.58823529411765,5682,10,6378
63845495,30,12.0,227.76666666666668,6483,10,6833
63848495,30,12.0,11.8,12,10,354
63851495,27,12.0,12.0,12,12,324
63854495,24,12.0,12.0,12,12,288
63857495,29,12.0,16.482758620689655,150,10,478
63860495,25,12.0,12.0,12,12,300
63863495,20,12.0,12.0,12,12,240
63866495,25,12.0,23.04,150,12,576
63869495,30,12.0,11.666666666666666,12,10,350
63872495,33,10.0,14.969696969696969,150,10,494
63875495,40,12.0,29.2,150,10,1168
63878495,30,12.0,12.0,12,12,360
63881495,28,12.0,12.0,12,12,336
63884495,37,12.0,650.6216216216217,6578,10,24073
63887495,26,12.0,11.615384615384615,12,10,302
63890495,20,12.0,12.0,12,12,240
63893495,31,12.0,16.451612903225808,150,12,510
63896495,21,12.0,11.904761904761905,12,10,250
63899495,35,12.0,19.4,150,10,679
63902495,20,12.0,12.0,12,12,240
63905495,30,12.0,21.2,150,12,636
63908495,28,12.0,16.714285714285715,150,10,468
63911495,27,12.0,11.851851851851851,12,10,320
63914495,29,12.0,11.724137931034482,12,10,340
63917495,24,12.0,12.0,12,12,288
63920495,25,12.0,12.0,12,12,300
63923495,25,12.0,17.52,150,12,438
63926495,34,12.0,643.0882352941177,5606,12,21865
63929495,25,12.0,17.48,150,11,437
63932495,32,12.0,11.5625,12,10,370
63935495,33,12.0,18.03030303030303,216,11,595
63938495,27,12.0,12.0,12,12,324
63941495,41,12.0,18.73170731707317,150,12,768
63944495,22,12.0,12.0,20,10,264
63947495,33,12.0,11.878787878787879,12,10,392
63950495,24,12.0,12.0,12,12,288
63953495,36,12.0,469.5,5364,11,16902
63956495,30,12.0,12.0,12,12,360
63959495,34,12.0,11.764705882352942,12,10,400
63962495,34,12.0,1034.764705882353,7688,10,35182
63965495,27,12.0,12.0,12,12,324
63968495,23,12.0,11.73913043478261,12,10,270
63971495,30,12.0,14.166666666666666,77,12,425
63974495,26,12.0,12.0,12,12,312
63977495,26,12.0,18.384615384615383,178,12,478
63980495,18,12.0,27.333333333333332,150,12,492
63983495,27,12.0,11.851851851851851,12,10,320
63986495,18,12.0,306.77777777777777,5318,12,5522
63989495,25,12.0,11.8,15,10,295
63992495,28,12.0,12.071428571428571,20,10,338
63995495,25,12.0,12.0,12,12,300
63998495,26,12.0,11.384615384615385,12,10,296
64001495,20,12.0,12.0,12,12,240
64004495,20,12.0,12.0,12,12,240
64007495,21,12.0,12.142857142857142,15,12,255
64010495,23,12.0,11.869565217391305,12,11,273
64013495,24,12.0,17.75,150,12,426
64016495,22,12.0,11.818181818181818,12,10,260
64019495,22,12.0,12.0,12,12,264
64022495,26,12.0,11.923076923076923,12,10,310
64025495,28,12.0,1782.0714285714287,7347,10,49898
64028495,21,12.0,18.571428571428573,150,12,390
64031495,26,12.0,12.0,12,12,312
64034495,28,12.0,16.714285714285715,150,10,468
64037495,30,12.0,12.0,12,12,360
64040495,22,12.0,12.0,12,12,264
64043495,27,12.0,11.925925925925926,12,10,322
64046495,24,12.0,12.0,12,12,288
64049495,34,12.0,11.764705882352942,12,10,400
64052495,21,12.0,12.0,12,12,252
64055495,25,12.0,17.52,150,12,438
64058495,23,12.0,18.0,150,12,414
64061495,23,12.0,11.73913043478261,12,10,270
64064495,25,12.0,11.92,12,10,298
64067495,28,12.0,11.785714285714286,12,10,330
64070495,28,12.0,12.0,12,12,336
64073495,29,12.0,22.20689655172414,150,10,644
64076495,24,12.0,12.0,12,12,288
64079495,24,12.0,28.916666666666668,150,10,694
64082495,27,12.0,34.74074074074074,250,12,938
64085495,30,12.0,12.0,12,12,360
64088495,20,12.0,12.0,12,12,240
64091495,23,12.0,12.043478260869565,15,10,277
64094495,30,12.0,12.0,12,12,360
64097495,21,12.0,12.0,12,12,252
64100495,21,12.0,12.0,12,12,252
64103495,26,12.0,12.0,12,12,312
64106495,8,12.0,12.0,12,12,96
64109495,22,12.0,11.909090909090908,12,10,262
64112495,24,12.0,12.0,12,12,288
64115495,30,12.0,16.6,150,12,498
64118495,32,12.0,14.75,70,10,472
64121495,36,12.0,447.6666666666667,5294,10,16116
64124495,24,12.0,12.0,12,12,288
64127495,35,12.0,752.8285714285714,5129,10,26349
64130495,13,12.0,22.615384615384617,150,12,294
64133495,25,12.0,11.92,12,10,298
64136495,24,12.0,17.25,150,10,414
64139495,21,12.0,11.904761904761905,12,10,250
64142495,25,12.0,11.92,12,10,298
64145495,23,12.0,11.652173913043478,12,10,268
64148495,24,12.0,12.0,12,12,288
64151495,25,12.0,17.52,150,12,438
64154495,31,12.0,11.935483870967742,12,10,370
64157495,25,12.0,11.96,12,11,299
64160495,27,12.0,11.481481481481481,12,10,310
64163495,22,12.0,11.818181818181818,12,10,260
64166495,20,12.0,12.0,12,12,240
64169495,20,12.0,12.0,12,12,240
64172495,35,12.0,11.857142857142858,15,10,415
64175495,30,12.0,11.666666666666666,12,10,350
64178495,25,12.0,12.0,12,12,300
64181495,38,12.0,20.710526315789473,150,10,787
64184495,32,12.0,12.0,12,12,384
64187495,33,12.0,16.12121212121212,150,10,532
64190495,22,12.0,11.818181818181818,12,10,260
64193495,26,12.0,17.23076923076923,150,10,448
64196495,24,12.0,12.0,12,12,288
64199495,24,12.0,12.0,12,12,288
64202495,24,12.0,12.0,12,12,288
64205495,27,12.0,22.22222222222222,150,12,600
