Ledger_Number,Ledger_Date,Row_Count,Transaction_Fee_med,Transaction_Fee_avg,Transaction_Fee_max,Transaction_Fee_min,Transaction_Fee_sum
90004995,2024-08-12T10:16:30.000Z,29,12.0,18.344827586206897,150.0,10.0,532.0
90005495,2024-08-12T10:49:00.000Z,34,10.0,12.294117647058824,20.0,10.0,418.0
90005995,2024-08-12T11:21:32.000Z,35,10.0,13.428571428571429,20.0,10.0,470.0
90006495,2024-08-12T11:54:10.000Z,27,10.0,12.333333333333334,20.0,10.0,333.0
90006995,2024-08-12T12:26:41.000Z,32,13.5,20.59375,221.0,10.0,659.0
90007495,2024-08-12T12:59:12.000Z,34,10.0,12.411764705882353,20.0,10.0,422.0
90007995,2024-08-12T13:31:50.000Z,21,10.0,13.095238095238095,20.0,10.0,275.0
90008495,2024-08-12T14:04:31.000Z,36,10.0,16.36111111111111,150.0,10.0,589.0
90008995,2024-08-12T14:37:10.000Z,31,11.0,21.70967741935484,150.0,10.0,673.0
90009495,2024-08-12T15:09:41.000Z,24,12.0,13.625,20.0,10.0,327.0
90009995,2024-08-12T15:42:21.000Z,47,10.0,20.127659574468087,150.0,10.0,946.0
90010495,2024-08-12T16:14:50.000Z,35,10.0,14.057142857142857,30.0,10.0,492.0
90010995,2024-08-12T16:47:12.000Z,47,10.0,14.23404255319149,30.0,10.0,669.0
90011495,2024-08-12T17:19:51.000Z,29,10.0,15.241379310344827,30.0,10.0,442.0
90011995,2024-08-12T17:52:21.000Z,14,16.0,15.142857142857142,20.0,10.0,212.0
90012495,2024-08-12T18:25:00.000Z,32,12.0,18.625,100.0,10.0,596.0
90012995,2024-08-12T18:57:30.000Z,34,11.0,16.794117647058822,150.0,10.0,571.0
90013495,2024-08-12T19:30:02.000Z,19,15.0,16.63157894736842,30.0,10.0,316.0
90013995,2024-08-12T20:02:40.000Z,45,10.0,14.933333333333334,150.0,10.0,672.0
90014495,2024-08-12T20:35:12.000Z,15,15.0,15.933333333333334,20.0,12.0,239.0
90014995,2024-08-12T21:07:50.000Z,35,10.0,2172.342857142857,38218.0,10.0,76032.0
90015495,2024-08-12T21:40:30.000Z,31,10.0,11.35483870967742,20.0,10.0,352.0
90015995,2024-08-12T22:13:01.000Z,37,10.0,11.594594594594595,20.0,10.0,429.0
90016495,2024-08-12T22:45:32.000Z,36,10.0,12.61111111111111,20.0,10.0,454.0
90016995,2024-08-12T23:18:11.000Z,72,10.0,12.38888888888889,30.0,10.0,892.0
90017495,2024-08-12T23:50:41.000Z,14,17.5,17.285714285714285,30.0,10.0,242.0
90017995,2024-08-13T00:23:10.000Z,33,10.0,21.151515151515152,150.0,10.0,698.0
90018495,2024-08-13T00:55:50.000Z,47,10.0,14.191489361702128,150.0,10.0,667.0
90018995,2024-08-13T01:28:30.000Z,30,10.0,27.8,150.0,10.0,834.0
90019495,2024-08-13T02:01:01.000Z,50,10.0,565.64,5833.0,10.0,28282.0
90019995,2024-08-13T02:33:32.000Z,12,20.0,21.833333333333332,30.0,10.0,262.0
90020495,2024-08-13T03:06:10.000Z,44,10.0,13.295454545454545,30.0,10.0,585.0
