Ledger_Number,Transaction_Hash,Transaction_Fee,Account_ID,Gets_Currency_Code,Gets_Count,Gets_Currency_Issuer,Pays_Currency_Code,Pays_Count,Pays_Currency_Issuer,Error
92369495,7A86E1C2E0FB631C1088DD9AFF313CB5963E88E795E9FE7991E26DA4268A1C3B,10,rwv5jqEoxn291tqRuMnecpfP3H9BeQYy6A,XRP,22610462,,MFX,1503,rfUhMQYijKvStp96CUxDNp8ukYJAebNrJ1,
92369495,63DCB07898C5FE04D61038D886C6452A4F0ABA4C7F475883363D14021F052799,12,r3ZDszz2ieaVjCPxGjMjJWrjVaxQxHgf1o,XRP,5096220,,XPM,2167.5135851466,rXPMxBeefHGxx2K7g5qmmWq3gFsgawkoa,
92369495,3CE22DBB99A421C0D67F8A85B878857082AD5C2BF7CC2DD56A177FF886E56B7F,15,rfmdBKhtJw2J22rw1JxQcchQTM68qzE4N2,XRP,1490120,,524C555344000000000000000000000000000000,2.017920504,rMxCKbEDwqr76QuheSUMdEGf4B9xJ8m5De,
92369495,A9543721E37337235432F97CB59897CBC827D1DC3DCB1E359F6372C93EED16A3,15,rfmdBKhtJw2J22rw1JxQcchQTM68qzE4N2,XRP,1000000,,524C555344000000000000000000000000000000,1.35445,rMxCKbEDwqr76QuheSUMdEGf4B9xJ8m5De,
92369495,D6AE52069A562B23BAF7E758E1D11EF75A724BFBF12BEA6B9A7B345117D1DE98,10,r3rhWeE31Jt5sWmi4QiGLMZnY3ENgqw96W,DSH,17.73725061256378,rcXY84C4g14iFp6taFXjjQGVeHqSCh9RX,EUR,556.1460825953102,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,
92369495,EB254A545D7CD63768C46819EF15C2E04D7CB062DC623D174E64102680C7EFC4,10,r3rhWeE31Jt5sWmi4QiGLMZnY3ENgqw96W,DSH,31.39935807705173,rcXY84C4g14iFp6taFXjjQGVeHqSCh9RX,EUR,1013.685889524147,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,
92369495,EA9E913E897138586E55FE44460F607F09ED545A04F9F34E7A4DC5872227F032,10,rnXJTX5AYLro3XWtDALUe2sxrjKusrVx8b,XRP,22724858,,MFX,1513,rfUhMQYijKvStp96CUxDNp8ukYJAebNrJ1,
92369495,415BC23CFE18C1F6C283C7D0546485B014BDCE67D5EC68AB40B47CFBDDBAE460,150,rakJtHrQBGB7VTL9mjcGRQiZLpXM7FPhtP,47414C4100000000000000000000000000000000,2524.826623,rf5YPb9y9P3fTjhxNaZqmrwaj5ar8PG1gM,XRP,64953050,,
92369495,104C879F78AD982624850644663C33B06B1F0FE66A52B6891DC25AC56DA1B116,10,rammersz4CroiyvbkzeZN1sBDCK9P8DvxF,TPC,73.31954743894561,rG5V4BAhSAb8LHQwZpTa13FrtNwygF1AEd,CSC,2235.307322829634,rCSCManTZ8ME9EoLrSHHYKW8PPwWMgkwr,
92369495,B7420747B9A2C7B36118EF2DCCA859D2B93BCCF2AF80BBA9DDAD8F735F32770D,15,rhhh49pFH96roGyuC4E5P4CHaNjS1k8gzM,XRP,100000000000,,CNY,998720,rKiCet8SdvWxPXnAgYarFUXMh1zCPz432Y,
